,id,class
0,0,3_post
1,1,3_post
2,2,1_reconnaissance
3,3,4_unknown
4,4,2_exploit
5,5,3_post
6,6,3_post
7,7,4_unknown
8,8,2_exploit
9,9,3_post
10,10,4_unknown
11,11,3_post
12,12,1_reconnaissance
13,13,2_exploit
14,14,4_unknown
15,15,3_post
16,16,1_reconnaissance
17,17,3_post
18,18,4_unknown
19,19,2_exploit
20,20,2_exploit
21,21,3_post
22,22,2_exploit
23,23,4_unknown
24,24,2_exploit
25,25,2_exploit
26,26,2_exploit
27,27,4_unknown
28,28,3_post
29,29,4_unknown
30,30,3_post
31,31,2_exploit
32,32,3_post
33,33,3_post
34,34,4_unknown
35,35,3_post
36,36,2_exploit
37,37,2_exploit
38,38,2_exploit
39,39,3_post
40,40,3_post
41,41,4_unknown
42,42,2_exploit
43,43,2_exploit
44,44,1_reconnaissance
45,45,3_post
46,46,3_post
47,47,2_exploit
48,48,2_exploit
49,49,2_exploit
50,50,3_post
51,51,2_exploit
52,52,2_exploit
53,53,3_post
54,54,3_post
55,55,4_unknown
56,56,2_exploit
57,57,2_exploit
58,58,2_exploit
59,59,3_post
60,60,2_exploit
61,61,2_exploit
62,62,3_post
63,63,2_exploit
64,64,2_exploit
65,65,4_unknown
66,66,4_unknown
67,67,2_exploit
68,68,2_exploit
69,69,2_exploit
70,70,2_exploit
71,71,3_post
72,72,3_post
73,73,3_post
74,74,1_reconnaissance
75,75,2_exploit
76,76,4_unknown
77,77,3_post
78,78,3_post
79,79,1_reconnaissance
80,80,2_exploit
81,81,1_reconnaissance
82,82,2_exploit
83,83,3_post
84,84,3_post
85,85,2_exploit
86,86,3_post
87,87,3_post
88,88,3_post
89,89,1_reconnaissance
90,90,3_post
91,91,2_exploit
92,92,4_unknown
93,93,2_exploit
94,94,4_unknown
95,95,4_unknown
96,96,3_post
97,97,4_unknown
98,98,3_post
99,99,4_unknown
100,100,4_unknown
101,101,3_post
102,102,1_reconnaissance
103,103,2_exploit
104,104,3_post
105,105,2_exploit
106,106,2_exploit
107,107,4_unknown
108,108,4_unknown
109,109,2_exploit
110,110,2_exploit
111,111,2_exploit
112,112,3_post
113,113,3_post
114,114,2_exploit
115,115,4_unknown
116,116,1_reconnaissance
117,117,3_post
118,118,1_reconnaissance
119,119,2_exploit
120,120,3_post
121,121,3_post
122,122,1_reconnaissance
123,123,2_exploit
124,124,4_unknown
125,125,4_unknown
126,126,3_post
127,127,3_post
128,128,2_exploit
129,129,3_post
130,130,2_exploit
131,131,3_post
132,132,2_exploit
133,133,2_exploit
134,134,3_post
135,135,2_exploit
136,136,4_unknown
137,137,1_reconnaissance
138,138,1_reconnaissance
139,139,4_unknown
140,140,2_exploit
141,141,2_exploit
142,142,2_exploit
143,143,4_unknown
144,144,2_exploit
145,145,3_post
146,146,2_exploit
147,147,3_post
148,148,2_exploit
149,149,4_unknown
150,150,3_post
151,151,3_post
152,152,4_unknown
153,153,4_unknown
154,154,4_unknown
155,155,2_exploit
156,156,1_reconnaissance
157,157,1_reconnaissance
