id,class
0,2_exploit
1,2_exploit
2,2_exploit
3,2_exploit
4,4_unknown
5,3_post
6,4_unknown
7,2_exploit
8,2_exploit
9,2_exploit
10,2_exploit
11,2_exploit
12,4_unknown
13,2_exploit
14,4_unknown
15,1_reconnaissance
16,2_exploit
17,2_exploit
18,3_post
19,1_reconnaissance
20,3_post
21,4_unknown
22,2_exploit
23,4_unknown
24,2_exploit
25,2_exploit
26,4_unknown
27,4_unknown
28,3_post
29,1_reconnaissance
30,2_exploit
31,2_exploit
32,3_post
33,2_exploit
34,2_exploit
35,2_exploit
36,4_unknown
37,4_unknown
38,2_exploit
39,2_exploit
40,2_exploit
41,3_post
42,2_exploit
43,1_reconnaissance
44,3_post
45,3_post
46,4_unknown
47,3_post
48,2_exploit
49,1_reconnaissance
50,2_exploit
51,3_post
52,2_exploit
53,3_post
54,2_exploit
55,2_exploit
56,2_exploit
57,4_unknown
58,2_exploit
59,3_post
60,4_unknown
61,2_exploit
62,3_post
63,2_exploit
64,2_exploit
65,4_unknown
66,2_exploit
67,2_exploit
68,1_reconnaissance
69,4_unknown
70,3_post
71,4_unknown
72,2_exploit
73,2_exploit
74,2_exploit
75,3_post
76,2_exploit
77,2_exploit
78,2_exploit
79,2_exploit
80,2_exploit
81,2_exploit
82,4_unknown
83,2_exploit
84,4_unknown
85,3_post
86,4_unknown
87,4_unknown
88,4_unknown
89,2_exploit
90,4_unknown
91,1_reconnaissance
92,2_exploit
93,3_post
94,4_unknown
95,2_exploit
96,3_post
97,2_exploit
98,2_exploit
99,3_post
100,4_unknown
101,2_exploit
102,2_exploit
103,3_post
104,2_exploit
105,2_exploit
106,2_exploit
107,3_post
108,2_exploit
109,2_exploit
110,4_unknown
111,3_post
112,2_exploit
113,3_post
114,2_exploit
115,1_reconnaissance
116,3_post
117,4_unknown
118,3_post
119,2_exploit
120,2_exploit
121,3_post
122,4_unknown
123,3_post
124,3_post
125,2_exploit
126,2_exploit
127,2_exploit
128,4_unknown
129,2_exploit
130,4_unknown
131,2_exploit
132,3_post
133,2_exploit
134,2_exploit
135,3_post
136,4_unknown
137,4_unknown
138,3_post
139,4_unknown
140,4_unknown
141,2_exploit
142,4_unknown
143,2_exploit
144,4_unknown
145,2_exploit
146,2_exploit
147,2_exploit
148,4_unknown
149,4_unknown
150,2_exploit
151,4_unknown
152,2_exploit
153,3_post
154,4_unknown
155,3_post
156,2_exploit
157,4_unknown
158,1_reconnaissance
159,2_exploit
160,3_post
161,2_exploit
162,2_exploit
163,2_exploit
164,2_exploit
165,4_unknown
166,3_post
167,2_exploit
168,4_unknown
169,4_unknown
170,2_exploit
171,3_post
172,4_unknown
173,2_exploit
174,3_post
175,4_unknown
176,4_unknown
177,2_exploit
178,2_exploit
179,3_post
180,4_unknown
181,4_unknown
182,4_unknown
183,4_unknown
184,3_post
185,4_unknown
186,2_exploit
187,4_unknown
188,3_post
189,2_exploit
190,4_unknown
191,4_unknown
192,3_post
193,3_post
194,1_reconnaissance
195,4_unknown
196,4_unknown
197,2_exploit
198,3_post
199,2_exploit
200,4_unknown
201,2_exploit
202,2_exploit
203,2_exploit
204,2_exploit
205,2_exploit
206,2_exploit
207,2_exploit
208,3_post
209,4_unknown
210,2_exploit
211,4_unknown
212,4_unknown
213,2_exploit
214,2_exploit
215,2_exploit
216,4_unknown
217,2_exploit
218,4_unknown
219,3_post
220,3_post
221,4_unknown
222,3_post
223,2_exploit
224,4_unknown
225,4_unknown
226,3_post
227,2_exploit
228,2_exploit
229,2_exploit
230,2_exploit
