id,class
0,3_post
1,3_post
2,1_reconnaissance
3,4_unknown
4,2_exploit
5,3_post
6,3_post
7,4_unknown
8,2_exploit
9,3_post
10,4_unknown
11,3_post
12,1_reconnaissance
13,2_exploit
14,4_unknown
15,3_post
16,1_reconnaissance
17,3_post
18,4_unknown
19,2_exploit
20,2_exploit
21,3_post
22,2_exploit
23,4_unknown
24,2_exploit
25,2_exploit
26,2_exploit
27,4_unknown
28,3_post
29,4_unknown
30,3_post
31,2_exploit
32,3_post
33,3_post
34,4_unknown
35,3_post
36,2_exploit
37,2_exploit
38,2_exploit
39,3_post
40,3_post
41,4_unknown
42,2_exploit
43,2_exploit
44,1_reconnaissance
45,3_post
46,2_exploit
47,2_exploit
48,2_exploit
49,2_exploit
50,3_post
51,2_exploit
52,2_exploit
53,3_post
54,3_post
55,4_unknown
56,2_exploit
57,2_exploit
58,2_exploit
59,3_post
60,2_exploit
61,2_exploit
62,3_post
63,2_exploit
64,2_exploit
65,4_unknown
66,4_unknown
67,2_exploit
68,2_exploit
69,2_exploit
70,2_exploit
71,3_post
72,3_post
73,3_post
74,1_reconnaissance
75,2_exploit
76,4_unknown
77,3_post
78,3_post
79,1_reconnaissance
80,2_exploit
81,1_reconnaissance
82,2_exploit
83,3_post
84,3_post
85,2_exploit
86,3_post
87,3_post
88,3_post
89,1_reconnaissance
90,3_post
91,2_exploit
92,4_unknown
93,2_exploit
94,4_unknown
95,4_unknown
96,3_post
97,4_unknown
98,3_post
99,4_unknown
100,4_unknown
101,3_post
102,1_reconnaissance
103,2_exploit
104,3_post
105,2_exploit
106,2_exploit
107,4_unknown
108,4_unknown
109,2_exploit
110,2_exploit
111,2_exploit
112,3_post
113,3_post
114,2_exploit
115,4_unknown
116,1_reconnaissance
117,3_post
118,1_reconnaissance
119,2_exploit
120,3_post
121,3_post
122,1_reconnaissance
123,2_exploit
124,4_unknown
125,4_unknown
126,3_post
127,3_post
128,2_exploit
129,3_post
130,2_exploit
131,3_post
132,2_exploit
133,2_exploit
134,3_post
135,2_exploit
136,4_unknown
137,1_reconnaissance
138,1_reconnaissance
139,4_unknown
140,2_exploit
141,2_exploit
142,2_exploit
143,4_unknown
144,2_exploit
145,3_post
146,2_exploit
147,3_post
148,2_exploit
149,4_unknown
150,3_post
151,3_post
152,4_unknown
153,4_unknown
154,4_unknown
155,2_exploit
156,1_reconnaissance
157,1_reconnaissance
158,2_exploit
159,2_exploit
160,2_exploit
161,2_exploit
162,3_post
163,3_post
164,4_unknown
165,3_post
166,2_exploit
167,4_unknown
168,2_exploit
169,3_post
170,3_post
171,2_exploit
172,2_exploit
173,3_post
174,3_post
175,2_exploit
